"Reference","Qty","Value","Footprint","DNP"
"AE1","1","Antenna_Shield","",""
"BT1","1","Battery_Cell","",""
"C1,C2,C5,C19,C20","5","4.7uF","",""
"C3,C22","2","10nF","",""
"C4","1","100nF","",""
"C6,C7","2","10uF","",""
"C8,C9,C14,C15,C16,C17,C18,C21,C24","9","0.1uF","",""
"C10,C11,C12,C13,C23","5","1uF","",""
"D1,D2,D3,D4","4","PMEG1020EA","",""
"F1","1","Polyfuse","",""
"FB1","1","FerriteBead","",""
"J1","1","USB_C_Receptacle_USB2.0_16P","",""
"J2","1","Micro_SD_Card_Det1","",""
"L1,L2","2","2.2uH","",""
"R1,R4,R5,R6,R7,R17,R18,R19,R20,R21,R22","11","0","",""
"R2,R3,R8","3","5.1k","",""
"R9,R10,R11,R12,R15,R23,R24,R25,R26","9","10k","",""
"R13,R14","2","4.7","",""
"R16","1","TBD","",""
"SW1","1","SW_Push","",""
"U1","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6",""
"U2,U3","2","TPS62840DLCR","TPS62840DLCR:VSON8_2P1X1P6_TEX",""
"U4","1","SCD41-D-R2","Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",""
"U5,U6","2","SGP41-D-R4","SGP41-D-R4:XDCR_SGP41-D-R4",""
"U7","1","SHT4x","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",""
"U8","1","STM32L4Q5CGUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",""
"U9","1","RFM95W-915S2","",""
"Y1","1","Crystal_GND3","",""
